Folder,Actual Barrier,Predicted Barrier
2_h_ch3,84.6,79.22372375874762
5_och3_ch3,94.6,87.29732927074127
6_och3_cf3,73.1,80.42705403737806
7_och3_no2,74.4,68.05962038091675
10_cf3_no2,60.3,69.44342937032762
17.2N_2.no2,63.2,72.69085856609547
20.2N_3.ch3,89.2,80.95032895677005
21.2N_3.no2,68.0,76.59876660466198
27.4N_2.cf3_no2,71.7,79.18879028141657
30.4N_2.och3_cf3,80.2,85.58808961777359
31.4N_2.och3_ch3,90.8,84.74634914606763
33.2N_4.och3_ch3,90.8,80.83316428163432
34.2N_4.och3_cf3,87.3,79.41381363539438
36.2N_4.ch3_cf3,90.8,83.91940215714382
imicooh,79.2,73.20768494560652
amineH,63.6,68.76958669006753
1C_0_2,72.6,65.00062508240205
1C_1_1,67.5,75.10754731195273
1C_1_2,83.1,74.91874467371268
1C_2_2,98.8,92.878191685697
2C_0_0,77.5,86.66952344739421
2C_0_1,88.6,93.78885050965971
2C_0_2,108.2,98.70653371802561
2C_1_2,114.3,108.86875326276103
2C_20,85.3,91.00440515672959
2C_22,84.7,91.1309686636724
3C_29,104.8,97.91837161787123
DA2_py_py,82.3,88.25170840416496
DA2_th_th,79.7,89.13583248130692
py_CH3_py_Cl,90.5,99.70375359476753
py_NH2_py_Cl,93.8,100.58854918700249
th_NH2_th_CF3,63.6,71.21367428293972
DA1_py_th,60.2,67.24896675493393
thiazoleH,77.1,82.7851617160007
