Folder,Actual Barrier,Predicted Barrier
4_h_no2,71.3,72.49731334113538
8_ch3_cf3,79.0,78.99823551112145
9_ch3_no2,70.5,69.70003924767428
11.1N.cf3,83.8,84.6729525936128
15.2N_2.cf3,84.0,84.45267196292433
19.2N_3.cf3,82.4,84.6175063725885
22.2N_3.och3,89.3,86.63334376815463
23.3N.cf3,78.7,79.10386165666807
25.3N.no2,69.7,67.40142015056746
28.4N_2.ch3_cf3,75.9,78.23155622032635
29.4N_2.ch3_no2,71.6,73.33539358746069
32.4N_2.och3_no2,75.7,78.22755106227032
35.2N_4.och3_no2,85.5,83.06520056788573
38.2N_4.cf3_no2,82.2,79.26312906053678
iminch32,94.0,89.79684765386358
iminh2,88.4,83.6340462417994
imioh,87.5,88.52129814523799
imicf3,75.2,78.21524253648036
imino2,63.1,66.71036325005953
AmineCH3,99.3,95.8805601421572
1C_0_1,54.1,53.0938172441065
1C_7,53.3,52.70046249953251
1C_8,56.3,52.291496670202406
1C_10,59.0,56.60964936872469
1C_11,58.6,58.39812324873133
2C_1_1,103.9,103.59927581578407
2C_21,86.1,90.74185940718911
3C_0_0,101.0,100.44180823887046
3C_30,101.4,98.99861519133461
3C_31,99.5,97.25067152494138
3C_32,101.0,101.4931688017239
3C_33,100.2,101.98431060643222
2im_py_th,85.2,81.66179816417444
DA1_py_py,63.5,65.12927891192642
DA2_imi_imi,77.8,75.41760605969839
th_CH3_th_CF3,69.6,72.97115559824427
th_CH3_th_Cl,74.3,70.98473088035178
th_NH2_th_Cl,71.6,70.6681473617209
DA1_imi_py,66.1,68.58369831491677
DA2_th_im,71.7,71.36306545910196
