Folder,Actual Barrier,Predicted Barrier
1_h_och3,83.3,70.3743025345932
3_h_cf3,73.8,84.74879423590389
12.1N.ch3,98.3,85.13632216472591
13.1N.no2,70.0,81.15067656273042
14.1N.och3,92.4,81.86486597655366
16.2N_2.ch3,94.9,83.10519510348924
18.2N_2.och3,95.1,78.71406627873908
24.3N.ch3,94.5,81.49067249135794
26.3N.och3,93.0,82.84870755335291
37.2N_4.ch3_no2,93.1,80.0434938217266
iminhch3,97.3,83.48693332696615
imioch3,102.5,88.89527230524841
imich3,85.0,71.08495200805969
imicho,81.4,63.189982980627946
amineCF3,58.6,81.09467675021897
amineNO2,80.7,69.07226905984609
amineOCH3,61.9,78.71604213084575
1C_0_0,42.8,54.512928173058654
1C_9,58.7,39.44474046251671
2C_2_2,129.3,110.94837579141104
2C_18,73.7,88.79099075184574
2C_19,79.7,89.80706121909182
3C_0_1,111.2,85.77605955500871
3C_0_2,120.7,94.97292912185684
3C_1_1,123.5,104.79675627191841
3C_1_2,127.5,105.26282911197357
3C_2_2,150.5,116.9981709219328
2py_imi_th,90.3,103.51423235420722
2th_im_py,89.8,79.61508096616804
DA1_imi_imi,63.3,73.53253502328987
DA1_th_th,57.8,69.41489748975992
py_CH3_py_CF3,87.6,101.3057803151425
py_NH2_py_CF3,92.2,103.78811002559583
DA1_imi_th,57.5,68.87170653900282
DA2_py_im,87.9,67.09081896264907
DA2_th_py,87.1,66.15068879018744
imiHdiamH,87.6,103.04258951808168
pyridineH,84.3,102.45863507316079
